Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-224,2003,8.0,2,21,8,38.1,2.62,1.00,0.10,0.25,14.3,0,0,0,1.5,1.5,0.07,+0.5,+0.5
Abner,BRA,DF,Lyon,Ligue 1,24-164,2000,6.2,1,5,3,60.0,0.81,0.49,0.20,0.33,18.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-263,2000,8.2,4,29,14,48.3,3.54,1.71,0.14,0.29,13.6,0,0,1,5.7,4.9,0.17,-1.7,-0.9
Abdel Abqar,MAR,DF,Alavés,La Liga,25-242,1999,9.5,0,5,1,20.0,0.52,0.10,0.00,0.00,7.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Tammy Abraham,ENG,FW,Roma,Serie A,27-036,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tammy Abraham,ENG,FW,Milan,Serie A,27-036,1997,3.9,1,12,6,50.0,3.07,1.53,0.00,0.00,15.9,0,1,2,3.4,1.7,0.14,-2.4,-1.7
Federico Accornero,ITA,MF,Genoa,Serie A,20-276,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,36-271,1988,6.3,0,1,0,0.0,0.16,0.00,0.00,,11.7,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-283,2000,8.8,3,20,10,50.0,2.28,1.14,0.15,0.30,13.7,0,0,0,3.9,3.9,0.19,-0.9,-0.9
Che Adams,SCO,FW,Torino,Serie A,28-117,1996,7.5,3,15,8,53.3,2.01,1.07,0.20,0.38,18.2,0,0,0,2.3,2.3,0.15,+0.7,+0.7
Tyler Adams,USA,MF,Bournemouth,Premier League,25-267,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-154,2001,7.8,2,17,7,41.2,2.18,0.90,0.12,0.29,14.1,0,0,0,3.3,3.3,0.20,-1.3,-1.3
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-044,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Adeline,FRA,MF,Reims,Ligue 1,20-341,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-294,2002,3.4,2,8,4,50.0,2.36,1.18,0.25,0.50,16.8,0,0,0,0.7,0.7,0.09,+1.3,+1.3
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-311,2002,1.6,1,5,1,20.0,3.19,0.64,0.20,1.00,14.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-181,2000,2.3,0,5,0,0.0,2.20,0.00,0.00,,13.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-101,2000,3.6,1,1,1,100.0,0.27,0.27,1.00,1.00,20.8,0,0,0,0.0,0.0,0.02,+1.0,+1.0
Adryelson,BRA,DF,Lyon,Ligue 1,26-229,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-179,2006,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,27-306,1997,4.2,0,5,2,40.0,1.19,0.48,0.00,0.00,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-269,1998,5.9,2,18,7,38.9,3.05,1.19,0.11,0.29,17.6,0,0,0,1.4,1.4,0.08,+0.6,+0.6
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-143,1997,10.0,0,10,3,30.0,1.00,0.30,0.00,0.00,27.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-040,2005,0.0,0,1,0,0.0,30.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-317,2000,8.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-272,2002,6.7,0,3,0,0.0,0.45,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-041,1999,7.9,2,3,3,100.0,0.38,0.38,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,+1.3,+1.3
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-190,1996,3.2,0,7,0,0.0,2.18,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-222,1996,7.7,0,10,4,40.0,1.30,0.52,0.00,0.00,10.0,0,0,0,1.9,1.9,0.19,-1.9,-1.9
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-195,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Honest Ahanor,ITA,DF,Genoa,Serie A,16-258,2008,0.9,0,1,0,0.0,1.06,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-232,1994,7.8,2,14,3,21.4,1.80,0.39,0.14,0.67,21.9,0,0,0,0.9,0.9,0.07,+1.1,+1.1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-039,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-135,2005,1.0,0,2,0,0.0,2.07,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-030,1996,9.6,1,4,1,25.0,0.42,0.10,0.25,1.00,25.9,0,0,0,0.1,0.1,0.03,+0.9,+0.9
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-154,2001,9.3,3,12,4,33.3,1.30,0.43,0.25,0.75,13.8,0,0,0,1.1,1.1,0.10,+1.9,+1.9
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-204,1998,7.1,0,1,1,100.0,0.14,0.14,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-256,1994,7.8,2,8,5,62.5,1.03,0.64,0.25,0.40,11.3,0,0,0,1.5,1.5,0.18,+0.5,+0.5
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-111,1995,8.7,0,5,1,20.0,0.58,0.12,0.00,0.00,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-032,2003,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,29-263,1995,0.8,0,1,0,0.0,1.20,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-205,2004,6.0,0,15,5,33.3,2.50,0.83,0.00,0.00,23.6,0,0,0,0.5,0.5,0.03,-0.5,-0.5
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-327,1997,6.9,1,6,2,33.3,0.87,0.29,0.17,0.50,19.6,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-256,2002,6.4,0,11,1,9.1,1.73,0.16,0.00,0.00,18.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-349,2001,7.0,0,2,0,0.0,0.28,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-267,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-202,1995,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-229,1990,0.3,1,2,1,50.0,6.00,3.00,0.50,1.00,15.0,0,0,0,0.5,0.5,0.26,+0.5,+0.5
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-064,1985,7.2,0,1,0,0.0,0.14,0.00,0.00,,4.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-343,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Omar Alderete,PAR,DF,Getafe,La Liga,27-317,1996,11.0,0,16,6,37.5,1.45,0.55,0.00,0.00,20.4,2,0,0,0.4,0.4,0.02,-0.4,-0.4
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26-307,1998,3.4,0,4,1,25.0,1.18,0.30,0.00,0.00,12.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,26-031,1998,9.4,0,10,2,20.0,1.07,0.21,0.00,0.00,25.5,2,0,0,0.4,0.4,0.04,-0.4,-0.4
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25-187,1999,2.4,0,11,2,18.2,4.56,0.83,0.00,0.00,16.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,20-293,2004,6.3,2,13,7,53.8,2.08,1.12,0.15,0.29,15.6,0,0,0,1.5,1.5,0.12,+0.5,+0.5
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23-112,2001,0.8,0,1,0,0.0,1.27,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Alisson,BRA,GK,Liverpool,Premier League,32-036,1992,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25-261,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-254,1995,5.0,0,14,2,14.3,2.78,0.40,0.00,0.00,16.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-161,2000,5.0,0,3,1,33.3,0.59,0.20,0.00,0.00,21.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-187,2004,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-271,1994,1.2,0,4,1,25.0,3.43,0.86,0.00,0.00,15.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25-120,1999,3.6,1,9,4,44.4,2.48,1.10,0.11,0.25,18.7,0,0,0,0.6,0.6,0.07,+0.4,+0.4
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-315,1990,7.1,0,5,1,20.0,0.70,0.14,0.00,0.00,19.7,1,0,0,0.3,0.3,0.06,-0.3,-0.3
Giorgio Altare,ITA,DF,Venezia,Serie A,26-090,1998,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23-224,2001,4.8,0,3,0,0.0,0.62,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sergi Altimira,ESP,MF,Betis,La Liga,23-074,2001,6.2,0,8,1,12.5,1.29,0.16,0.00,0.00,23.8,0,0,0,0.3,0.2,0.03,-0.3,-0.2
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,27-014,1997,4.5,0,3,0,0.0,0.66,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-128,2003,9.7,1,11,4,36.4,1.13,0.41,0.09,0.25,16.4,1,0,0,0.9,0.9,0.08,+0.1,+0.1
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,La Liga,24-281,2000,7.8,3,20,8,40.0,2.58,1.03,0.15,0.38,16.5,0,0,0,2.2,2.2,0.11,+0.8,+0.8
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29-288,1995,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22-187,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,27-358,1996,7.4,2,14,5,35.7,1.90,0.68,0.07,0.20,23.3,1,1,1,2.6,1.8,0.13,-0.6,-0.8
Amath,SEN,"FW,DF",Valladolid,La Liga,28-114,1996,3.3,0,5,1,20.0,1.54,0.31,0.00,0.00,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Jordan Amavi,FRA,DF,Brest,Ligue 1,30-243,1994,6.3,0,3,1,33.3,0.48,0.16,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21-099,2003,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26-273,1998,6.4,0,3,1,33.3,0.47,0.16,0.00,0.00,23.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28-270,1996,8.7,0,4,0,0.0,0.46,0.00,0.00,,21.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28-011,1996,7.1,2,16,8,50.0,2.27,1.13,0.06,0.13,28.6,3,1,1,1.4,0.6,0.04,+0.6,+0.4
Samuel Amo-Ameyaw,ENG,DF,Southampton,Premier League,18-112,2006,0.1,0,1,0,0.0,9.00,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18-294,2006,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,19.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24-182,2000,6.4,2,21,7,33.3,3.28,1.09,0.10,0.29,16.9,0,0,0,2.1,2.1,0.10,-0.1,-0.1
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,28-078,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28-160,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Joachim Andersen,DEN,DF,Fulham,Premier League,28-160,1996,5.7,0,7,2,28.6,1.23,0.35,0.00,0.00,19.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Elliot Anderson,ENG,"MF,FW",Nott'ham Forest,Premier League,22-001,2002,6.6,0,15,3,20.0,2.26,0.45,0.00,0.00,19.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8
André,BRA,MF,Wolves,Premier League,23-114,2001,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Benjamin André,FRA,MF,Lille,Ligue 1,34-096,1990,7.9,0,8,2,25.0,1.01,0.25,0.00,0.00,15.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Marcos André,BRA,FW,Valladolid,La Liga,28-018,1996,2.9,0,3,0,0.0,1.03,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,30-046,1994,6.5,2,14,4,28.6,2.16,0.62,0.14,0.50,22.3,0,0,0,1.0,1.0,0.07,+1.0,+1.0
Angeliño,ESP,DF,Roma,Serie A,27-308,1997,10.0,0,6,1,16.7,0.60,0.10,0.00,0.00,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19-255,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22-350,2001,4.8,0,5,0,0.0,1.03,0.00,0.00,,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28-110,1996,7.5,0,6,0,0.0,0.80,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Michail Antonio,JAM,FW,West Ham,Premier League,34-224,1990,6.7,1,16,3,18.8,2.39,0.45,0.06,0.33,13.1,0,0,0,1.9,1.9,0.12,-0.9,-0.9
Antoniu,ESP,"MF,DF",Espanyol,La Liga,22-063,2002,0.7,0,3,0,0.0,4.58,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Antony,BRA,FW,Manchester Utd,Premier League,24-257,2000,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,22.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Anuar,MAR,"FW,MF",Valladolid,La Liga,29-297,1995,2.8,1,4,2,50.0,1.41,0.71,0.25,0.50,13.3,0,0,0,0.6,0.6,0.14,+0.4,+0.4
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32-151,1992,7.2,0,2,0,0.0,0.28,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aritz Arambarri,ESP,DF,Leganés,La Liga,26-281,1998,2.0,0,1,0,0.0,0.51,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Mauro Arambarri,URU,MF,Getafe,La Liga,29-038,1995,8.2,4,14,3,21.4,1.71,0.37,0.14,0.67,18.2,1,2,2,2.6,1.1,0.08,+1.4,+0.9
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,22-107,2002,7.7,0,5,2,40.0,0.65,0.26,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Julian Araujo,MEX,DF,Bournemouth,Premier League,23-086,2001,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cameron Archer,ENG,FW,Southampton,Premier League,23-109,2001,5.8,2,14,6,42.9,2.40,1.03,0.14,0.33,12.0,0,0,1,3.5,2.7,0.20,-1.5,-0.7
Carlens Arcus,HAI,DF,Angers,Ligue 1,28-132,1996,8.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,Premier League,31-254,1993,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adu Ares,ESP,FW,Athletic Club,La Liga,23-026,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jesús Areso,ESP,DF,Osasuna,La Liga,25-128,1999,10.8,0,3,0,0.0,0.28,0.00,0.00,,21.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
David Argüelles,ESP,MF,Getafe,La Liga,22-311,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joe Aribo,NGA,MF,Southampton,Premier League,28-109,1996,5.9,1,9,4,44.4,1.54,0.68,0.11,0.25,14.4,0,0,0,1.3,1.3,0.14,-0.3,-0.3
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27-271,1997,4.1,1,12,3,25.0,2.95,0.74,0.08,0.33,17.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1
Harrison Armstrong,ENG,MF,Everton,Premier League,17-293,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Arnaiz,ESP,FW,Osasuna,La Liga,29-206,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hákon Arnar Haraldsson,ISL,MF,Lille,Ligue 1,21-211,2003,1.9,0,6,1,16.7,3.21,0.54,0.00,0.00,19.8,2,0,0,0.5,0.5,0.08,-0.5,-0.5
Marko Arnautović,AUT,FW,Inter,Serie A,35-202,1989,0.4,0,2,0,0.0,4.50,0.00,0.00,,4.7,0,0,0,0.9,0.9,0.44,-0.9,-0.9
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,30-164,1994,7.4,1,6,3,50.0,0.81,0.41,0.17,0.33,29.4,2,0,0,0.1,0.1,0.02,+0.9,+0.9
Jann-Fiete Arp,GER,FW,Holstein Kiel,Bundesliga,24-306,2000,3.1,1,5,2,40.0,1.64,0.65,0.00,0.00,19.9,0,1,1,1.1,0.3,0.06,-0.1,-0.3
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-035,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arthur,BRA,DF,Leverkusen,Bundesliga,21-235,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Takuma Asano,JPN,FW,Mallorca,La Liga,29-363,1994,3.5,0,9,3,33.3,2.54,0.85,0.00,0.00,12.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Marco Asensio,ESP,"FW,MF",Paris S-G,Ligue 1,28-291,1996,4.6,2,19,11,57.9,4.09,2.37,0.11,0.18,14.3,2,0,0,5.0,5.0,0.27,-3.0,-3.0
Kristjan Asllani,ALB,MF,Inter,Serie A,22-243,2002,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,17.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Iago Aspas,ESP,"FW,MF",Celta Vigo,La Liga,37-098,1987,9.0,4,22,10,45.5,2.44,1.11,0.14,0.30,21.1,1,1,2,3.4,1.9,0.09,+0.6,+1.1
Yaser Asprilla,COL,"FW,MF",Girona,La Liga,20-354,2003,3.8,1,6,1,16.7,1.59,0.26,0.17,1.00,22.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4
Lorenz Assignon,TOG,"DF,MF",Rennes,Ligue 1,24-138,2000,5.1,0,1,0,0.0,0.20,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Dehmaine Assoumani,FRA,"MF,FW",Nantes,Ligue 1,19-204,2005,0.4,0,2,1,50.0,5.29,2.65,0.00,0.00,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,19-074,2005,9.5,0,9,1,11.1,0.95,0.11,0.00,0.00,26.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Arthur Atta,FRA,MF,Udinese,Serie A,21-298,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-166,2002,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Emil Audero,ITA,GK,Como,Serie A,27-294,1997,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tommaso Augello,ITA,DF,Cagliari,Serie A,30-069,1994,8.2,0,2,0,0.0,0.24,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Carlos Augusto,BRA,DF,Inter,Serie A,25-305,1999,2.1,0,1,0,0.0,0.47,0.00,0.00,,7.0,0,0,0,0.3,0.3,0.30,-0.3,-0.3
Yann Aurel Bisseck,GER,DF,Inter,Serie A,23-344,2000,4.3,0,4,0,0.0,0.94,0.00,0.00,,11.4,0,0,0,0.4,0.4,0.10,-0.4,-0.4
Ezequiel Ávila,ARG,FW,Betis,La Liga,30-275,1994,4.2,1,14,7,50.0,3.35,1.68,0.07,0.14,15.7,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,27-087,1997,1.2,0,4,1,25.0,3.30,0.83,0.00,0.00,13.7,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Yasin Ayari,SWE,MF,Brighton,Premier League,21-032,2003,5.0,0,8,2,25.0,1.61,0.40,0.00,0.00,21.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Florian Ayé,FRA,FW,Auxerre,Ligue 1,27-293,1997,3.3,0,4,1,25.0,1.20,0.30,0.00,0.00,12.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
André Ayew,GHA,FW,Le Havre,Ligue 1,34-326,1989,2.3,0,4,0,0.0,1.76,0.00,0.00,,16.0,1,0,0,0.3,0.3,0.08,-0.3,-0.3
